Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
192	58	0.366383	0.183191	3.11425	0.366383	-334.556	0.555556	337	-1	7	58
193	58	0.366383	0.183191	3.11425	0.366383	-336.556	0.555556	339	-1	7	58
194	60	0.366383	0.366383	3.29744	0.366383	-337.556	0.555556	340	-1	7	60
195	60	0.366383	0.366383	3.29744	0.366383	-337.556	0.555556	340	-1	7	60
196	61	0.366383	0.183191	3.48063	0.366383	-339.556	0.555556	342	-1	7	61
197	62	0.366383	0	3.66383	0.366383	-343.556	0.555556	346	-1	7	62
198	62	0.366383	0	3.66383	0.366383	-344.556	0.555556	347	-1	7	62
199	62	0.366383	0	3.66383	0.366383	-345.556	0.555556	348	-1	7	62
200	62	0.366383	0	3.66383	0.366383	-348.556	0.555556	351	-1	7	62
201	62	0.366383	0	3.66383	0.366383	-348.556	0.555556	351	-1	7	62
202	62	0.366383	0	3.66383	0.366383	-351.556	0.555556	354	-1	7	62
203	62	0.366383	0	3.66383	0.366383	-352.556	0.555556	355	-1	7	62
204	63	0.366383	0	3.66383	0.366383	-357.111	0.555556	360	-1	8	63
205	64	0.183191	0	3.66383	0.183191	-361.667	0.555556	365	-1	9	64
206	64	0.183191	0	3.66383	0.183191	-362.667	0.555556	366	-1	9	64
207	64	0.183191	0	3.66383	0.183191	-364.667	0.555556	368	-1	9	64
208	65	0.183191	0	3.66383	0.183191	-366.667	0.555556	370	-1	9	65
